Date,Open,High,Low,Close,Volume
2021-06-16,976.6086,983.8647,962.9178,975.8328,1881596
2021-06-17,967.4357,990.0255,964.7889,985.9639,3161931
2021-06-18,994.4066,996.3233,962.9179,977.2475,4396398
2021-06-21,966.5687,976.6543,962.9178,970.1283,1074790
2021-06-22,968.4398,978.434,961.7312,964.9257,2437289
2021-06-23,967.4814,969.5807,947.8123,964.2412,4130539
2021-06-24,964.3325,987.835,960.6359,985.7357,3617010
2021-06-25,992.4899,1006.9108,982.9976,994.4066,3200049
2021-06-28,995.7758,1011.292,986.7398,1008.6451,2143755
2021-06-29,1012.2046,1012.5697,988.4739,993.1744,2956332
2021-06-30,993.22,1008.5537,988.7478,999.8372,1917370
2021-07-01,1000.3392,1003.3968,986.6484,990.4362,1459518
2021-07-02,992.1247,1001.7082,981.1721,994.3152,1669409
2021-07-05,997.6011,999.3809,977.7038,980.8528,2597359
2021-07-06,980.8527,980.8527,956.3005,957.9435,3865594
2021-07-07,957.9435,967.025,940.1911,954.6121,3713891
2021-07-08,957.4416,970.5847,953.7907,967.6184,2171947
2021-07-09,963.1002,975.5133,957.4414,959.9514,1889035
2021-07-12,964.7432,966.2948,954.7946,964.3781,3224820
2021-07-13,969.3069,969.3069,956.5288,958.4912,1908081
2021-07-14,962.005,985.7357,956.5287,984.3666,3173326
2021-07-15,983.9102,1021.9705,982.4499,1015.3533,5922995
2021-07-16,1015.308,1020.6931,988.5197,1006.8654,2323939
2021-07-19,993.0375,1013.528,991.3034,998.6964,1409001
2021-07-20,1000.2936,1005.9981,990.2081,992.3073,1230858
2021-07-22,985.7357,1051.9078,985.7357,1048.3481,7309727
2021-07-23,1039.4239,1055.6541,1031.2395,1045.9437,2840803
2021-07-26,1045.9438,1052.926,1032.5805,1035.9559,984581
2021-07-27,1035.956,1042.892,1021.0206,1036.5571,1397105
2021-07-28,1039.4702,1045.6662,1023.2862,1035.3549,2533035
2021-07-29,1043.8166,1055.5153,1031.2394,1042.9844,3821405
2021-07-30,1095.8827,1144.2495,1086.6347,1118.5864,20425030
2021-08-02,1119.0026,1122.7018,1105.6393,1119.6499,2385223
2021-08-03,1119.9274,1137.4985,1119.0026,1134.0305,2603616
2021-08-04,1133.0595,1137.8685,1122.4243,1125.0138,1938175
2021-08-05,1125.5224,1159.6936,1125.4761,1154.3297,5790873
2021-08-06,1157.8439,1177.2646,1149.5671,1169.4963,3894726
2021-08-09,1193.3561,1208.5228,1170.7911,1190.6279,6585101
2021-08-10,1191.1365,1229.7005,1185.9577,1223.5507,6314469
2021-08-11,1223.5506,1226.9723,1200.7081,1224.0592,3430349
2021-08-12,1223.5046,1289.905,1218.6494,1282.2754,8613315
2021-08-13,1276.3103,1285.4658,1263.1783,1279.131,4760344
2021-08-16,1278.0213,1294.6676,1257.9533,1264.9817,2912430
2021-08-17,1268.8195,1321.3479,1267.4323,1307.3834,8042970
